date,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-06-17,7051.5673828125,6948.32080078125,6868.66357421875,6892.0458984375,6990.5791015625,7289.90576171875,7727.240234375,8122.8076171875,8475.634765625,8680.10546875,8813.60546875,8785.923828125,8833.3349609375,8795.4423828125,8870.2587890625,8804.2578125,8843.1689453125,8831.349609375,8730.884765625,8583.6328125,8335.03125,8127.02197265625,7806.7578125,7659.9365234375
2024-06-18,7716.2578125,7575.02978515625,7468.15185546875,7429.7783203125,7593.71240234375,7809.73583984375,8179.5078125,8548.017578125,8839.7998046875,9044.4775390625,9104.205078125,9125.591796875,9101.6376953125,9061.8115234375,9039.5244140625,8978.51171875,9001.9111328125,8984.96484375,8866.787109375,8802.16015625,8544.0849609375,8338.7607421875,8082.1953125,7842.830078125
2024-06-19,7836.9658203125,7702.37939453125,7648.96533203125,7690.47216796875,7909.8203125,8208.6044921875,8601.236328125,8943.05859375,9172.595703125,9302.4677734375,9325.900390625,9314.357421875,9302.337890625,9303.8154296875,9299.48046875,9215.1728515625,9215.296875,9151.9140625,8953.3515625,8876.9970703125,8607.4951171875,8372.1748046875,8119.38720703125,7900.4658203125
2024-06-20,7533.7412109375,7392.203125,7293.462890625,7258.591796875,7431.544921875,7710.0703125,8127.41796875,8554.4287109375,8892.435546875,9105.47265625,9236.1767578125,9237.8017578125,9220.3388671875,9182.1201171875,9243.1650390625,9139.4287109375,9148.9208984375,9152.7587890625,8969.6376953125,8874.5732421875,8629.7548828125,8370.712890625,8066.49267578125,7810.90771484375
2024-06-21,7331.63525390625,7220.333984375,7146.22412109375,7092.53466796875,7178.66455078125,7350.208984375,7657.53466796875,7960.39208984375,8252.8203125,8483.4169921875,8585.630859375,8594.287109375,8639.15234375,8620.4267578125,8582.4736328125,8558.04296875,8541.275390625,8602.8466796875,8494.3037109375,8394.4423828125,8168.81787109375,8033.5224609375,7742.3037109375,7534.26708984375
2024-06-22,7509.87744140625,7421.255859375,7385.05126953125,7329.72998046875,7342.8583984375,7405.7421875,7576.54736328125,7731.45703125,7880.1474609375,8073.009765625,8112.4716796875,8143.47412109375,8169.69677734375,8164.6015625,8084.37109375,8089.9951171875,8068.43212890625,8139.5361328125,8097.1201171875,8010.08349609375,7875.34130859375,7824.04150390625,7623.2509765625,7455.94091796875
2024-06-23,7373.6591796875,7269.25537109375,7217.95654296875,7144.2919921875,7087.38427734375,7092.74609375,7175.7978515625,7240.7392578125,7414.44140625,7599.76904296875,7683.9501953125,7761.20458984375,7781.16845703125,7762.3251953125,7739.267578125,7761.74169921875,7736.94140625,7829.11083984375,7817.21484375,7843.76123046875,7771.9970703125,7731.4306640625,7587.6083984375,7413.63134765625
2024-06-24,7189.9365234375,7096.91552734375,7002.798828125,7034.3046875,7080.19873046875,7378.05419921875,7752.0966796875,8039.04052734375,8439.54296875,8659.40234375,8820.9541015625,8813.2529296875,8936.892578125,8906.203125,8964.1953125,8929.11328125,8918.5986328125,8914.107421875,8827.484375,8698.6767578125,8461.5341796875,8351.0869140625,8013.43896484375,7894.56884765625
2024-06-25,7527.11083984375,7410.2607421875,7349.42529296875,7366.984375,7541.70703125,7773.15869140625,8158.31396484375,8476.9990234375,8733.224609375,8897.69140625,8953.83203125,8924.15234375,8943.5810546875,8953.046875,8918.1884765625,8874.28515625,8871.966796875,8835.40625,8696.5908203125,8586.5498046875,8322.669921875,8161.78662109375,7889.76123046875,7687.8369140625
2024-06-26,7054.75244140625,6937.9921875,6867.12744140625,6942.8955078125,7093.1259765625,7376.41162109375,7672.703125,8018.24560546875,8239.5263671875,8369.7548828125,8399.12890625,8300.740234375,8338.796875,8303.6357421875,8320.5302734375,8290.7666015625,8316.48046875,8326.7509765625,8203.34765625,8055.9228515625,7792.15283203125,7559.60595703125,7369.4248046875,7137.7744140625
